	EM5	EM4	EM3	EM1	AM3	AM2	AM1
497097	6.18627317774084	5.69823128893215	6.44699595136024	6.56594651327949	5.79708547741907	6.45704149200998	5.90354208765324
100503874	3.6835817145189	3.21310466627622	2.30474863269519	3.47784601138159	3.39286524060096	3.17730830202496	2.93854023778109
100038431	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.94275792022944	2.30474863269519	2.30474863269519
19888	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
20671	3.80483629624511	3.40859693484714	4.23867700812495	3.47784601138159	4.19962346444289	4.07156785588432	4.41509239738982
27395	6.14698857311635	5.72633123818391	5.45739497270472	5.56450774799839	5.66246745028116	5.65493736328005	5.64649516082365
18777	4.88246812095529	5.06361212462806	4.97998252909205	5.00571008718936	5.57509164557734	5.42115113141536	5.75496147838934
100503730	2.93997594962303	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.92636879953337	2.30474863269519
21399	6.36797684095017	5.90884360522514	6.22955465516556	6.5834031541052	5.74476159644083	6.0517735776302	6.12117764471894
58175	4.97709022730544	4.64979241682671	4.68776927844112	5.0576243236079	6.0112844730761	6.13102029371839	6.19971824951748
108664	7.63377731296038	7.50626889084824	7.37465514708699	7.22930159898237	8.12866819670927	8.109662492316	8.23584346933669
18387	2.93997594962303	2.30474863269519	3.52367003992576	3.27102246944797	4.98643796663546	4.57040399903397	4.9258153203877
226304	2.93997594962303	3.21310466627622	2.30474863269519	2.30474863269519	3.68928762713794	3.52126593210511	3.38588114668893
12421	7.71627656108702	7.1731708204545	7.36649268667054	7.69771921217629	7.70830930067668	7.73996853593435	8.19348135268033
620393	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.94275792022944	2.30474863269519	2.30474863269519
240690	4.72693298353601	4.70897534323369	5.22074380561661	5.10765684247206	5.15848615774849	5.25245403269326	5.29641702458022
319263	7.15075027928125	6.93105434226937	6.94102656022185	7.1496372510559	7.89854741898152	7.57345796014311	8.08436678549525
71096	4.61227708421825	4.13783052565294	3.88537177875239	4.64438162354582	5.6904333100619	5.45258522837211	6.01650805005429
59014	5.90916604097181	5.4165018032822	5.95122998296276	5.66705225085748	5.8962838466224	5.80796298854601	5.87983222243192
76187	2.93997594962303	3.56976556261732	3.7776155582411	3.64791388315228	5.27482222728925	5.28785985760392	5.14378730763787
72481	2.93997594962303	2.95226684155884	2.30474863269519	2.99426879728366	3.1999687678583	2.30474863269519	3.54408897123595
76982	6.40170553778117	6.347707304893	5.78861738276957	6.31725216464712	9.245499592287	9.29766488448055	9.49788942927358
17864	4.55102279354362	4.13783052565294	4.45031147747557	3.79423863831387	4.02103943382022	3.36570484042914	3.91088201431536
70675	7.21840125369197	6.54884948594639	6.92998296817609	7.02759028492014	7.0601265860694	7.01045816720327	7.31244121156125
73331	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
170755	4.55102279354362	4.22474939822511	4.15947869310321	4.24377641698678	5.41624681063545	5.17882511219188	5.83119275125936
620986	3.54677769079876	2.30474863269519	3.36782949086722	3.64791388315228	3.39286524060096	2.30474863269519	2.93854023778109
240697	2.93997594962303	3.56976556261732	3.17908011046662	3.27102246944797	3.1999687678583	3.17730830202496	3.68063552506097
73824	5.56469309582596	5.30849204072925	4.97998252909205	5.29149271759676	4.42725037128527	4.50991626374674	4.54670150542671
266793	2.93997594962303	2.30474863269519	2.30474863269519	2.99426879728366	2.30474863269519	2.30474863269519	2.30474863269519
100038398	2.30474863269519	2.95226684155884	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
100039596	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
69312	2.30474863269519	2.30474863269519	2.92764960008016	3.27102246944797	3.1999687678583	2.92636879953337	2.93854023778109
26754	7.255677774516	7.15276846032161	7.28221768184244	7.19569813330519	7.00595758705153	6.89078441256346	6.89689887618168
211660	7.058819059112	7.18326456282045	7.01604463519835	7.07765802053934	5.94340400198386	5.87870380177129	6.12117764471894
211673	7.95014320570597	7.62205011568077	7.78910622145846	7.75264376248939	8.04527585255413	7.9665057964347	8.40213577252051
329093	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.92636879953337	2.30474863269519
109294	4.83257893099116	4.52289897608444	4.63227123544611	4.71170792158213	7.4811673279648	7.33605040212022	7.67615253614509
320492	5.50338190732855	4.22474939822511	4.84171615636711	4.64438162354582	7.0387031199471	6.86791350602994	7.30361087906813
329096	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
240725	5.14879667290808	4.92273531843564	5.22074380561661	5.41504600471723	6.0112844730761	5.83193658776517	5.83119275125936
240726	7.88030578981013	7.53806495791558	7.77067493604577	7.79811131033872	4.28010999601099	4.50991626374674	4.10279858998757
383491	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519	2.30474863269519
17978	7.92145432687071	7.38910725608725	7.83121749325972	8.07547419970623	8.15873737353045	8.06015102187047	8.16453231067099
